dia,activos,recuperados,susceptibles
0,1.00,0.00,2175951.00
1,1.17,0.05,2175950.78
2,1.34,0.15,2175950.51
3,1.52,0.27,2175950.21
4,1.72,0.41,2175949.87
5,1.94,0.58,2175949.48
6,2.17,0.78,2175949.04
7,2.43,1.02,2175948.55
8,2.70,1.29,2175948.01
9,3.00,1.60,2175947.40
10,3.32,1.95,2175946.72
11,3.68,2.35,2175945.98
12,4.06,2.79,2175945.15
13,4.47,3.29,2175944.24
14,4.92,3.85,2175943.23
15,5.41,4.47,2175942.12
16,5.94,5.16,2175940.91
17,6.51,5.92,2175939.57
18,7.13,6.76,2175938.11
19,7.81,7.69,2175936.50
20,8.54,8.72,2175934.74
21,9.33,9.84,2175932.82
22,10.20,11.08,2175930.72
23,11.13,12.44,2175928.43
24,12.15,13.93,2175925.92
25,13.25,15.56,2175923.19
26,14.44,17.35,2175920.21
27,15.74,19.30,2175916.96
28,17.14,21.44,2175913.42
29,18.67,23.77,2175909.56
30,20.32,26.32,2175905.36
31,22.12,29.09,2175900.79
32,24.07,32.12,2175895.81
33,26.18,35.42,2175890.40
34,28.47,39.02,2175884.51
35,30.96,42.94,2175878.10
36,33.66,47.21,2175871.14
37,36.58,51.85,2175863.57
38,39.76,56.91,2175855.34
39,43.20,62.41,2175846.39
40,46.94,68.39,2175836.67
41,51.00,74.89,2175826.11
42,55.40,81.97,2175814.64
43,60.17,89.66,2175802.17
44,65.35,98.02,2175788.63
45,70.96,107.10,2175773.93
46,77.06,116.97,2175757.97
47,83.67,127.70,2175740.63
48,90.84,139.35,2175721.81
49,98.63,152.01,2175701.37
50,107.07,165.75,2175679.18
51,116.23,180.68,2175655.09
52,126.16,196.89,2175628.95
53,136.94,214.49,2175600.56
54,148.64,233.61,2175569.76
55,161.32,254.36,2175536.32
56,175.08,276.89,2175500.03
57,190.01,301.34,2175460.64
58,206.21,327.89,2175417.90
59,223.78,356.71,2175371.51
60,242.84,387.98,2175321.17
61,263.52,421.93,2175266.55
62,285.95,458.77,2175207.28
63,310.28,498.76,2175142.96
64,336.67,542.15,2175073.18
65,365.30,589.24,2174997.46
66,396.36,640.34,2174915.30
67,430.04,695.79,2174826.16
68,466.58,755.96,2174729.45
69,506.22,821.25,2174624.53
70,549.21,892.09,2174510.70
71,595.84,968.95,2174387.21
72,646.41,1052.35,2174253.24
73,701.26,1142.82,2174107.91
74,760.75,1240.99,2173950.26
75,825.27,1347.48,2173779.25
76,895.24,1463.01,2173593.75
77,971.12,1588.34,2173392.54
78,1053.41,1724.30,2173174.29
79,1142.63,1871.79,2172937.58
80,1239.39,2031.77,2172680.84
81,1344.29,2205.31,2172402.40
82,1458.03,2393.54,2172100.43
83,1581.35,2597.70,2171772.95
84,1715.03,2819.14,2171417.83
85,1859.95,3059.30,2171032.75
86,2017.03,3319.76,2170615.21
87,2187.29,3602.22,2170162.49
88,2371.82,3908.53,2169671.66
89,2571.78,4240.68,2169139.54
90,2788.46,4600.84,2168562.70
91,3023.22,4991.36,2167937.43
92,3277.54,5414.75,2167259.71
93,3553.03,5873.76,2166525.21
94,3851.40,6371.36,2165729.24
95,4174.51,6910.75,2164866.74
96,4524.35,7495.39,2163932.27
97,4903.06,8129.03,2162919.91
98,5312.97,8815.71,2161823.33
99,5756.53,9559.79,2160635.67
100,6236.43,10366.00,2159349.57
101,6755.50,11239.42,2157957.08
102,7316.81,12185.53,2156449.66
103,7923.62,13210.24,2154818.13
104,8579.43,14319.94,2153052.63
105,9287.95,15521.47,2151142.58
106,10053.16,16822.22,2149076.62
107,10879.29,18230.12,2146842.59
108,11770.80,19753.70,2144427.50
109,12732.46,21402.11,2141817.44
110,13769.26,23185.16,2138997.58
111,14886.51,25113.38,2135952.11
112,16089.76,27198.03,2132664.22
113,17384.84,29451.13,2129116.04
114,18777.83,31885.53,2125288.65
115,20275.06,34514.93,2121162.01
116,21883.10,37353.91,2116714.99
117,23608.69,40417.98,2111925.33
118,25458.76,43723.57,2106769.67
119,27440.35,47288.08,2101223.58
120,29560.56,51129.90,2095261.53
121,31826.53,55268.42,2088857.05
122,34245.30,59724.00,2081982.71
123,36823.75,64517.99,2074610.27
124,39568.50,69672.70,2066710.80
125,42485.79,75211.36,2058254.85
126,45581.33,81158.06,2049212.61
127,48860.15,87537.69,2039554.16
128,52326.43,94375.82,2029249.75
129,55983.32,101698.61,2018270.07
130,59832.75,109532.63,2006586.62
131,63875.17,117904.73,1994172.09
132,68109.38,126841.80,1981000.81
133,72532.26,136370.55,1967049.19
134,77138.56,146517.23,1952296.21
135,81920.64,157307.36,1936723.99
136,86868.32,168765.37,1920318.31
137,91968.61,180914.23,1903069.16
138,97205.59,193775.13,1884971.29
139,102560.26,207366.96,1866024.78
140,108010.49,221706.00,1846235.51
141,113531.00,236805.38,1825615.63
142,119093.38,252674.72,1804183.91
143,124666.28,269319.64,1781966.08
144,130215.61,286741.41,1758994.99
145,135704.83,304936.49,1735310.67
146,141095.42,323896.29,1710960.29
147,146347.28,343606.81,1685997.91
148,151419.39,364048.48,1660484.12
149,156270.43,385196.01,1634485.55
150,160859.47,407018.36,1608074.17
151,165146.69,429478.80,1581326.51
152,169094.21,452535.07,1554322.72
153,172666.73,476139.65,1527145.62
154,175832.31,500240.12,1499879.57
155,178562.98,524779.65,1472609.37
156,180835.30,549697.51,1445419.18
157,182630.82,574929.77,1418391.41
158,183936.38,600409.93,1391605.69
159,184744.37,626069.69,1365137.94
160,185052.74,651839.73,1339059.53
161,184864.94,677650.44,1313436.62
162,184189.75,703432.76,1288329.50
163,183040.92,729118.82,1263792.26
164,181436.79,754642.72,1239872.49
165,179399.78,779941.12,1216611.10
166,176955.81,804953.81,1194042.38
167,174133.72,829624.20,1172194.08
168,170964.67,853899.72,1151087.61
169,167481.46,877732.16,1130738.38
170,163717.98,901077.87,1111156.15
171,159708.63,923897.90,1092345.46
172,155487.79,946158.13,1074306.08
173,151089.31,967829.19,1057033.49
174,146546.19,988886.45,1040519.36
175,141890.11,1009309.85,1024752.04
176,137151.24,1029083.74,1009717.02
177,132357.96,1048196.68,995397.36
178,127536.69,1066641.17,981774.14
179,122711.81,1084413.37,968826.82
180,117905.55,1101512.85,956533.60
181,113137.99,1117942.27,944871.74
182,108427.06,1133707.07,933817.87
183,103788.61,1148815.20,923348.19
184,99236.45,1163276.78,913438.77
185,94782.46,1177103.88,904065.66
186,90436.68,1190310.22,895205.10
187,86207.45,1202910.90,886833.65
188,82101.50,1214922.18,878928.32
189,78124.11,1226361.27,871466.62
190,74279.23,1237246.09,864426.68
191,70569.59,1247595.13,857787.28
192,66996.85,1257427.24,851527.91
193,63561.68,1266761.51,845628.80
194,60263.94,1275617.13,840070.93
195,57102.71,1284013.24,834836.05
196,54076.44,1291968.87,829906.69
197,51183.04,1299502.84,825266.13
198,48419.92,1306633.66,820898.42
199,45784.13,1313379.50,816788.38
200,43272.39,1319758.08,812921.52
201,40881.17,1325786.72,809284.11
202,38606.74,1331482.19,805863.07
203,36445.21,1336860.77,802646.02
204,34392.59,1341938.19,799621.22
205,32444.83,1346729.64,796777.53
206,30597.86,1351249.72,794104.42
207,28847.59,1355512.47,791591.95
208,27189.95,1359531.37,789230.68
209,25620.93,1363319.32,787011.74
210,24136.59,1366888.68,784926.73
211,22733.05,1370251.24,782967.71
212,21406.53,1373418.26,781127.22
213,20153.35,1376400.46,779398.19
214,18969.93,1379208.08,777773.99
215,17852.83,1381850.82,776248.35
216,16798.70,1384337.93,774815.37
217,15804.33,1386678.18,773469.48
218,14866.63,1388879.90,772205.47
219,13982.63,1390950.98,771018.39
220,13149.48,1392898.90,769903.62
221,12364.46,1394730.76,768856.78
222,11624.98,1396453.24,767873.78
223,10928.54,1398072.70,766950.75
224,10272.79,1399595.14,766084.07
225,9655.47,1401026.22,765270.30
226,9074.44,1402371.30,764506.25
227,8527.67,1403635.44,763788.90
228,8013.21,1404823.40,763115.40
229,7529.23,1405939.68,762483.09
230,7074.00,1406988.54,761889.46
231,6645.86,1407973.98,761332.16
232,6243.25,1408899.78,760808.97
233,5864.70,1409769.48,760317.82
234,5508.82,1410586.45,759856.74
235,5174.27,1411353.83,759423.90
236,4859.80,1412074.61,759017.58
237,4564.25,1412751.58,758636.16
238,4286.50,1413387.38,758278.12
239,4025.50,1413984.48,757942.02
240,3780.25,1414545.22,757626.53
241,3549.83,1415071.79,757330.38
242,3333.35,1415566.26,757052.39
243,3129.97,1416030.57,756791.45
244,2938.93,1416466.55,756546.52
245,2759.47,1416875.92,756316.61
246,2590.92,1417260.28,756100.80
247,2432.60,1417621.16,755898.24
248,2283.91,1417959.99,755708.10
249,2144.27,1418278.10,755529.63
250,2013.14,1418576.76,755362.11
251,1889.99,1418857.14,755204.87
252,1774.34,1419120.38,755057.28
253,1665.76,1419367.50,754918.75
254,1563.79,1419599.49,754788.72
255,1468.06,1419817.28,754666.67
256,1378.16,1420021.73,754552.11
257,1293.76,1420213.66,754444.58
258,1214.52,1420393.83,754343.65
259,1140.13,1420562.96,754248.92
260,1070.28,1420721.72,754160.00
261,1004.71,1420870.76,754076.53
262,943.15,1421010.66,753998.19
263,885.36,1421141.98,753924.66
264,831.11,1421265.26,753855.64
265,780.18,1421380.97,753790.85
266,732.37,1421489.59,753730.04
267,687.49,1421591.55,753672.96
268,645.36,1421687.26,753619.38
269,605.81,1421777.09,753569.09
270,568.69,1421861.42,753521.89
271,533.84,1421940.58,753477.58
272,501.13,1422014.88,753435.98
273,470.43,1422084.63,753396.94
274,441.61,1422150.10,753360.29
275,414.56,1422211.55,753325.89
276,389.17,1422269.23,753293.60
277,365.33,1422323.38,753263.29
278,342.96,1422374.21,753234.83
279,321.97,1422421.92,753208.12
280,302.26,1422466.70,753183.04
281,283.76,1422508.74,753159.50
282,266.40,1422548.20,753137.40
283,250.10,1422585.24,753116.66
284,234.80,1422620.02,753097.18
285,220.44,1422652.66,753078.90
286,206.97,1422683.30,753061.73
287,194.32,1422712.06,753045.61
288,182.45,1422739.07,753030.48
289,171.31,1422764.41,753016.28
290,160.85,1422788.21,753002.94
291,151.04,1422810.55,752990.41
292,141.83,1422831.52,752978.65
293,133.18,1422851.21,752967.61
294,125.06,1422869.69,752957.24
295,117.45,1422887.05,752947.50
296,110.30,1422903.34,752938.36
297,103.59,1422918.64,752929.77
298,97.29,1422933.00,752921.71
299,91.38,1422946.48,752914.13
300,85.84,1422959.15,752907.02
301,80.63,1422971.03,752900.34
302,75.74,1422982.20,752894.06
303,71.16,1422992.68,752888.16
304,66.85,1423002.52,752882.62
305,62.81,1423011.77,752877.42
306,59.02,1423020.45,752872.53
307,55.46,1423028.60,752867.93
308,52.13,1423036.26,752863.61
309,48.99,1423043.45,752859.56
310,46.05,1423050.21,752855.74
311,43.29,1423056.55,752852.16
312,40.70,1423062.51,752848.79
313,38.27,1423068.11,752845.62
314,35.98,1423073.38,752842.64
315,33.84,1423078.32,752839.84
316,31.83,1423082.96,752837.21
317,29.94,1423087.33,752834.73
318,28.17,1423091.43,752832.40
319,26.51,1423095.29,752830.20
320,24.95,1423098.91,752828.14
321,23.49,1423102.32,752826.20
322,22.11,1423105.52,752824.37
323,20.82,1423108.53,752822.65
324,19.61,1423111.36,752821.03
325,18.48,1423114.02,752819.50
326,17.41,1423116.53,752818.06
327,16.41,1423118.88,752816.71
328,15.47,1423121.10,752815.43
329,14.59,1423123.19,752814.23
330,13.76,1423125.15,752813.09
331,12.98,1423127.00,752812.02
332,12.26,1423128.74,752811.01
